Language,Gender,Filename,Active time,Alignment,Tokens
en,male,119.wav,"[(0, 1920)]","[('he', 0, 100), ('knew', 100, 440), ('that', 440, 610), ('i', 610, 780), ('had', 780, 910), ('fixed', 910, 1280), ('my', 1280, 1440), ('plane', 1440, 1920)]",he knew that i had fixed my plane
cn,male,92.wav,"[(0, 4980)]","[('的确', 0, 370), ('像', 370, 610), ('他', 610, 740), ('说', 740, 950), ('的', 950, 1070), ('那样', 1070, 1820), ('我', 1820, 1920), ('仰望', 1920, 2320), ('星空', 2320, 2810), ('的', 2810, 2910), ('时候', 2910, 3280), ('能', 3280, 3490), ('听见', 3490, 3880), ('他', 3880, 4050), ('在', 4050, 4270), ('欢笑', 4270, 4980)]",的确 像 他 说 的 那样 我 仰望 星空 的 时候 能 听见 他 在 欢笑
en,male,122.wav,"[(0, 4920)]","[('it', 0, 960), ('is', 960, 1180), ('as', 1180, 1340), ('he', 1340, 1540), ('said', 1540, 2340), ('i', 2340, 2450), ('look', 2450, 2710), ('at', 2710, 2830), ('the', 2830, 2990), ('stars', 2990, 3860), ('and', 3860, 4010), ('i', 4010, 4130), ('hear', 4130, 4360), ('him', 4360, 4480), ('laughing', 4480, 4920)]",it is as he said i look at the stars and i hear him laughing
cn,male,93.wav,"[(0, 3780)]","[('如果', 0, 220), ('能', 220, 1030), ('确定', 1030, 1450), ('的话', 1450, 1860), ('我', 1860, 2000), ('自然', 2000, 2340), ('十分', 2340, 2770), ('欣慰', 2770, 3230), ('但是', 3230, 3780)]",如果 能 确定 的话 我 自然 十分 欣慰 但是
en,male,123.wav,"[(0, 3540)]","[('it', 0, 150), ('would', 150, 250), ('comfort', 250, 910), ('me', 910, 1100), ('very', 1100, 1670), ('much', 1670, 2100), ('now', 2100, 2260), ('for', 2260, 2790), ('sure', 2790, 3240), ('but', 3240, 3540)]",it would comfort me very much now for sure but
cn,male,94.wav,"[(0, 3400)]","[('我', 0, 100), ('还是', 100, 580), ('宁愿', 580, 1560), ('选择', 1560, 2000), ('相信', 2000, 2500), ('他', 2500, 2650), ('就', 2650, 2880), ('在', 2880, 3100), ('那', 3100, 3400)]",我 还是 宁愿 选择 相信 他 就 在 那
en,male,124.wav,"[(0, 1220)]","[('i', 0, 190), ('choose', 190, 500), ('to', 500, 650), ('believe', 650, 940), ('he', 940, 1000), ('is', 1000, 1060), ('up', 1060, 1120), ('there', 1120, 1220)]",i choose to believe he is up there
cn,male,97.wav,"[(0, 4500)]","[('就', 0, 180), ('像', 180, 810), ('就', 810, 970), ('像', 970, 1180), ('我', 1180, 1330), ('知道', 1330, 1630), ('小', 1630, 1850), ('王子', 1850, 2190), ('永远', 2190, 2670), ('会', 2670, 2870), ('和', 2870, 3030), ('他', 3030, 3170), ('的', 3170, 3250), ('玫瑰', 3250, 3810), ('在一起', 3810, 4500)]",就 像 就 像 我 知道 小 王子 永远 会 和 他 的 玫瑰 在一起
en,male,126.wav,"[(635, 4220)]","[('it', 635, 705), ('is', 705, 795), ('it', 795, 875), ('is', 875, 995), ('just', 995, 1145), ('like', 1145, 1305), ('i', 1305, 1455), ('know', 1455, 1665), ('the', 1665, 1745), ('little', 1745, 2025), ('prince', 2025, 2485), ('will', 2485, 2625), ('always', 2625, 3045), ('be', 3045, 3245), ('with', 3245, 3375), ('his', 3375, 3555), ('rose', 3555, 4220)]",it is it is just like i know the little prince will always be with his rose
cn,male,115.wav,"[(0, 3380)]","[('你', 0, 70), ('为什么', 70, 890), ('要', 890, 1210), ('这么', 1210, 1470), ('做为', 1470, 3040), ('什么', 3040, 3260), ('要', 3260, 3380)]",你 为什么 要 这么 做为 什么 要
en,male,158.wav,"[(0, 4059)]","[('why', 0, 830), ('did', 830, 980), ('you', 980, 1210), ('do', 1210, 1270), ('that', 1270, 3030), ('why', 3030, 3290), ('did', 3290, 3570), ('you', 3570, 3660), ('do', 3660, 4059)]",why did you do that why did you do
cn,male,126.wav,"[(0, 4960)]","[('我们', 0, 1230), ('采用', 1230, 1530), ('一套', 1530, 1940), ('更为', 1940, 2390), ('快速', 2390, 2850), ('有效', 2850, 3310), ('的', 3310, 3420), ('方法', 3420, 3780), ('让', 3780, 3990), ('你', 3990, 4160), ('长大', 4160, 4960)]",我们 采用 一套 更为 快速 有效 的 方法 让 你 长大
en,male,175.wav,"[(0, 4380)]","[('here', 0, 730), ('we', 730, 1120), ('take', 1120, 1400), ('a', 1400, 1430), ('more', 1430, 1730), ('accelerated', 1730, 2750), ('approach', 2750, 3320), ('to', 3320, 3450), ('growing', 3450, 4019), ('up', 4019, 4380)]",here we take a more accelerated approach to growing up
cn,male,138.wav,"[(0, 970)]","[('我', 0, 90), ('想', 90, 360), ('不', 360, 420), ('起', 420, 480), ('你', 480, 540), ('说', 540, 720), ('过', 720, 810), ('什么', 810, 970)]",我 想 不 起 你 说 过 什么
en,male,199.wav,"[(0, 525)]","[('i', 0, 40), ('do', 40, 100), ('not', 100, 190), ('even', 190, 310), ('remember', 310, 525)]",i do not even remember
